n_patterns,pattern_index,trial,strict_success,inversion_tolerant_success,final_energy
5,2,25,1,1,-49.660000000000004
5,3,25,0,0,-54.620000000000005
5,4,25,0,0,-63.84000000000002
5,0,26,1,1,-50.220000000000006
5,1,26,0,0,-51.360000000000014
5,2,26,1,1,-49.660000000000004
5,3,26,1,1,-61.42000000000001
5,4,26,0,0,-64.14
5,0,27,0,0,-47.68000000000001
5,1,27,0,0,-50.72
5,2,27,1,1,-49.660000000000004
5,3,27,0,0,-64.32000000000001
5,4,27,0,0,-64.14
5,0,28,1,1,-50.220000000000006
5,1,28,0,0,-55.2
5,2,28,1,1,-49.660000000000004
5,3,28,1,1,-61.42000000000001
5,4,28,0,0,-64.32000000000001
5,0,29,0,0,-45.58
5,1,29,1,1,-53.1
5,2,29,1,1,-49.660000000000004
5,3,29,1,1,-61.42000000000001
5,4,29,0,0,-64.06000000000002
5,0,30,1,1,-50.220000000000006
5,1,30,0,0,-52.960000000000015
5,2,30,0,0,-45.74
5,3,30,0,0,-63.52000000000002
5,4,30,0,0,-64.14
5,0,31,1,1,-50.220000000000006
5,1,31,1,1,-53.1
5,2,31,1,1,-49.660000000000004
5,3,31,0,0,-64.0
5,4,31,0,0,-61.92000000000001
5,0,32,0,0,-48.800000000000004
5,1,32,1,1,-53.1
5,2,32,0,0,-47.839999999999996
5,3,32,1,1,-61.42000000000001
5,4,32,0,0,-58.56000000000001
5,0,33,0,0,-58.72000000000001
5,1,33,1,1,-53.1
5,2,33,0,0,-47.36
5,3,33,0,0,-64.0
5,4,33,0,0,-64.32000000000001
5,0,34,0,0,-47.10000000000001
5,1,34,0,0,-54.4
5,2,34,0,0,-48.160000000000004
5,3,34,0,0,-59.50000000000001
5,4,34,0,0,-59.42000000000001
5,0,35,1,1,-50.220000000000006
5,1,35,1,1,-53.1
5,2,35,1,1,-49.660000000000004
5,3,35,1,1,-61.42000000000001
5,4,35,0,0,-64.32000000000001
5,0,36,1,1,-50.220000000000006
5,1,36,1,1,-53.1
5,2,36,1,1,-49.660000000000004
5,3,36,1,1,-61.42000000000001
5,4,36,0,0,-61.26000000000001
5,0,37,0,0,-42.72
5,1,37,1,1,-53.1
5,2,37,1,1,-49.660000000000004
5,3,37,1,1,-61.42000000000001
5,4,37,0,0,-64.32000000000001
5,0,38,1,1,-50.220000000000006
5,1,38,1,1,-53.1
5,2,38,1,1,-49.660000000000004
5,3,38,1,1,-61.42000000000001
5,4,38,0,0,-64.14
5,0,39,1,1,-50.220000000000006
5,1,39,1,1,-53.1
5,2,39,1,1,-49.660000000000004
5,3,39,1,1,-61.42000000000001
5,4,39,0,0,-64.14
5,0,40,1,1,-50.220000000000006
5,1,40,1,1,-53.1
5,2,40,0,0,-45.74
5,3,40,1,1,-61.42000000000001
5,4,40,0,0,-64.0
5,0,41,1,1,-50.220000000000006
5,1,41,1,1,-53.1
5,2,41,1,1,-49.660000000000004
5,3,41,1,1,-61.42000000000001
5,4,41,0,0,-64.32000000000001
5,0,42,0,0,-47.68000000000001
5,1,42,1,1,-53.1
5,2,42,1,1,-49.660000000000004
5,3,42,0,0,-62.72000000000001
5,4,42,0,0,-64.14
5,0,43,1,1,-50.220000000000006
5,1,43,0,0,-51.839999999999996
5,2,43,1,1,-49.660000000000004
5,3,43,0,0,-58.720000000000006
5,4,43,0,0,-62.46
5,0,44,1,1,-50.220000000000006
5,1,44,1,1,-53.1
5,2,44,0,0,-47.52000000000001
5,3,44,1,1,-61.42000000000001
5,4,44,0,0,-64.14
5,0,45,1,1,-50.220000000000006
5,1,45,0,0,-51.04000000000001
5,2,45,0,0,-45.98000000000001
5,3,45,0,0,-62.78
5,4,45,0,0,-64.14
5,0,46,1,1,-50.220000000000006
5,1,46,0,0,-51.52
5,2,46,1,1,-49.660000000000004
5,3,46,0,0,-64.0
5,4,46,0,0,-64.0
5,0,47,0,0,-45.82000000000001
5,1,47,0,0,-55.42000000000001
5,2,47,1,1,-49.660000000000004
5,3,47,0,0,-64.0
5,4,47,0,0,-64.14
5,0,48,1,1,-50.220000000000006
5,1,48,0,0,-50.239999999999995
5,2,48,0,0,-48.0
5,3,48,0,0,-58.720000000000006
5,4,48,0,0,-64.32000000000001
5,0,49,0,0,-45.58000000000001
5,1,49,1,1,-53.1
5,2,49,1,1,-49.660000000000004
5,3,49,0,0,-60.06000000000001
5,4,49,0,0,-64.14
7,0,0,0,0,-47.48000000000001
7,1,0,1,1,-52.62
7,2,0,0,0,-47.32
7,3,0,0,0,-63.160000000000004
7,4,0,0,0,-61.0
7,5,0,1,1,-48.28000000000001
7,6,0,1,1,-48.92
7,0,1,0,0,-64.54
7,1,1,1,1,-52.68
7,2,1,1,1,-49.0
7,3,1,1,1,-60.52000000000001
7,4,1,1,1,-64.68
7,5,1,0,0,-45.5
7,6,1,0,0,-64.54
7,0,2,1,1,-49.220000000000006
7,1,2,0,0,-55.3
7,2,2,1,1,-49.38000000000001
7,3,2,1,1,-60.82000000000001
7,4,2,0,0,-64.00000000000001
7,5,2,0,0,-49.62
7,6,2,0,0,-45.14
7,0,3,0,0,-48.32000000000001
7,1,3,1,1,-52.50000000000001
7,2,3,1,1,-48.82
7,3,3,0,0,-58.24
7,4,3,0,0,-63.86000000000001
7,5,3,1,1,-49.14
7,6,3,1,1,-47.46000000000001
7,0,4,1,1,-50.580000000000005
7,1,4,1,1,-52.82
7,2,4,1,1,-49.06000000000001
7,3,4,0,0,-66.4
7,4,4,0,0,-62.420000000000016
7,5,4,1,1,-47.14000000000001
7,6,4,0,0,-47.68000000000001
7,0,5,1,1,-49.24
7,1,5,0,0,-49.34000000000001
7,2,5,0,0,-46.86
7,3,5,1,1,-60.68
7,4,5,0,0,-52.06
7,5,5,1,1,-50.46000000000001
7,6,5,1,1,-49.959999999999994
7,0,6,0,0,-64.46000000000001
7,1,6,1,1,-53.099999999999994
7,2,6,0,0,-47.56000000000001
7,3,6,0,0,-63.5
7,4,6,0,0,-63.10000000000001
7,5,6,0,0,-53.9
7,6,6,1,1,-52.28
7,0,7,0,0,-47.980000000000004
7,1,7,0,0,-63.660000000000004
7,2,7,0,0,-48.3
7,3,7,1,1,-60.440000000000005
7,4,7,0,0,-63.74000000000001
7,5,7,0,0,-46.84
7,6,7,0,0,-45.74
7,0,8,1,1,-53.71999999999999
7,1,8,0,0,-54.14
7,2,8,1,1,-48.92
7,3,8,1,1,-60.92
7,4,8,0,0,-63.100000000000016
7,5,8,1,1,-50.6
7,6,8,1,1,-49.5
7,0,9,0,0,-50.70000000000001
7,1,9,1,1,-53.0
7,2,9,1,1,-49.71999999999999
7,3,9,0,0,-64.60000000000001
7,4,9,0,0,-63.32000000000001
7,5,9,1,1,-48.68000000000001
7,6,9,1,1,-51.74
7,0,10,0,0,-47.5
7,1,10,0,0,-55.16000000000001
7,2,10,1,1,-49.56
7,3,10,0,0,-63.580000000000005
